('a5a4', 'c7c5', 'a4a3', 'c5b4')
('a5a4', 'c7c5', 'a4a3', 'c5c4')
('a5a4', 'c7c5', 'a4a3', 'd6d5')
('a5a4', 'c7c5', 'a4a3', 'h4g3')
('a5a4', 'c7c5', 'a4a3', 'h4g4')
('a5a4', 'c7c5', 'a4a3', 'h4g5')
('a5a4', 'c7c5', 'a4a3', 'h5d5')
('a5a4', 'c7c5', 'a4a3', 'h5e5')
('a5a4', 'c7c5', 'a4a3', 'h5f5')
('a5a4', 'c7c5', 'a4a3', 'h5g5')
('a5a4', 'c7c5', 'a4a3', 'h5h6')
('a5a4', 'c7c5', 'a4a3', 'h5h7')
('a5a4', 'c7c5', 'a4a3', 'h5h8')
('a5a4', 'c7c5', 'a4a5', 'c5b4')
('a5a4', 'c7c5', 'a4a5', 'c5c4')
('a5a4', 'c7c5', 'a4a5', 'd6d5')
('a5a4', 'c7c5', 'a4a5', 'h4g3')
('a5a4', 'c7c5', 'a4a5', 'h4g4')
('a5a4', 'c7c5', 'a4a5', 'h4g5')
('a5a4', 'c7c5', 'a4a5', 'h5d5')
('a5a4', 'c7c5', 'a4a5', 'h5e5')
('a5a4', 'c7c5', 'a4a5', 'h5f5')
('a5a4', 'c7c5', 'a4a5', 'h5g5')
('a5a4', 'c7c5', 'a4a5', 'h5h6')
('a5a4', 'c7c5', 'a4a5', 'h5h7')
('a5a4', 'c7c5', 'a4a5', 'h5h8')
('a5a4', 'c7c5', 'a4b3', 'c5b4')
('a5a4', 'c7c5', 'a4b3', 'c5c4')
('a5a4', 'c7c5', 'a4b3', 'd6d5')
('a5a4', 'c7c5', 'a4b3', 'h4g3')
('a5a4', 'c7c5', 'a4b3', 'h4g4')
('a5a4', 'c7c5', 'a4b3', 'h4g5')
('a5a4', 'c7c5', 'a4b3', 'h5d5')
('a5a4', 'c7c5', 'a4b3', 'h5e5')
('a5a4', 'c7c5', 'a4b3', 'h5f5')
('a5a4', 'c7c5', 'a4b3', 'h5g5')
('a5a4', 'c7c5', 'a4b3', 'h5h6')
('a5a4', 'c7c5', 'a4b3', 'h5h7')
('a5a4', 'c7c5', 'a4b3', 'h5h8')
('a5a4', 'c7c5', 'b4b1', 'c5c4')
('a5a4', 'c7c5', 'b4b1', 'd6d5')
('a5a4', 'c7c5', 'b4b1', 'f4f3')
('a5a4', 'c7c5', 'b4b1', 'h4g3')
('a5a4', 'c7c5', 'b4b1', 'h4g4')
('a5a4', 'c7c5', 'b4b1', 'h4g5')
('a5a4', 'c7c5', 'b4b1', 'h5d5')
('a5a4', 'c7c5', 'b4b1', 'h5e5')
('a5a4', 'c7c5', 'b4b1', 'h5f5')
('a5a4', 'c7c5', 'b4b1', 'h5g5')
('a5a4', 'c7c5', 'b4b1', 'h5h6')
('a5a4', 'c7c5', 'b4b1', 'h5h7')
('a5a4', 'c7c5', 'b4b1', 'h5h8')
('a5a4', 'c7c5', 'b4b2', 'c5c4')
('a5a4', 'c7c5', 'b4b2', 'd6d5')
('a5a4', 'c7c5', 'b4b2', 'f4f3')
('a5a4', 'c7c5', 'b4b2', 'h4g3')
('a5a4', 'c7c5', 'b4b2', 'h4g4')
('a5a4', 'c7c5', 'b4b2', 'h4g5')
('a5a4', 'c7c5', 'b4b2', 'h5d5')
('a5a4', 'c7c5', 'b4b2', 'h5e5')
('a5a4', 'c7c5', 'b4b2', 'h5f5')
('a5a4', 'c7c5', 'b4b2', 'h5g5')
('a5a4', 'c7c5', 'b4b2', 'h5h6')
