Chess v0.67 (time per move: 15) vs Chess v0.65 (time per move: 15)
w1. c4, book
b1. e5, book
w2. Nc3, book
b2. Nf6, book
w3. Nf3, book
b3. Nc6, book
w4. g3, book
b4. Bc5, book
w5. Bg2, book
b5. d6, book
w6. O-O, book
b6. O-O, book
w7. d3, book
b7. h6, book
w8. Na4, book
b8. Bb6, book
w9. Nxb6, 8
b9. axb6, 8
w10. e4, 8
b10. Be6, 7
w11. Qb3, 7
b11. Re8, 6
w12. Be3, 7
b12. Qd7, 6
w13. Rfe1, 8
b13. Rac8, 6
w14. Rad1, 8
b14. Rcd8, 7
w15. Qc3, 7
b15. Bh3, 7
w16. Bxh3, 8
b16. Qxh3, 7
w17. Qc2, 8
b17. Qh5, 7
w18. Qe2, 8
b18. Ng4, 7
w19. a3, 8
b19. Nxe3, 8
w20. Qxe3, 8
b20. g5, 8
w21. Nd2, 8
b21. Nd4, 8
w22. Rf1, 8
b22. Nc2, 7
w23. Qf3, 9
b23. g4, 8
w24. Qf6, 9
b24. Nd4, 8
w25. Rfe1, 8
b25. Nc2, 8
w26. Rf1, 8
b26. Qg5, 8
w27. Qxg5+, 9
b27. hxg5, 9
w28. Nb1, 10
b28. Nd4, 9
w29. Nc3, 10
b29. c6, 8
w30. a4, 10
b30. Nf3+, 8
w31. Kg2, 11
b31. Nd4, 8
w32. Rfe1, 10
b32. Ra8, 7
w33. Re3, 9
b33. Nc2, 9
w34. Re2, 10
b34. Nd4, 9
w35. Ree1, 10
b35. Nb3, 8
w36. Re3, 10
b36. Nd4, 8
w37. Kg1, 9
b37. Nc2, 9
w38. Re2, 10
b38. Nd4, 10
w39. Re3, 10
b39. Red8, 8
w40. Kg2, 9
b40. c5, 9
w41. Kg1, 8
b41. Nc2, 9
w42. Re2, 11
b42. Nd4, 10
w43. Re3, 11
b43. Nf3+, 10
w44. Kg2, 12
b44. Re8, 8
w45. Nd5, 9
b45. Red8, 8
w46. Nxb6, 9
b46. Ra6, 9
w47. Nd5, 10
b47. Nd4, 8
w48. Nf6+, 8
b48. Kg7, 9
w49. Nxg4, 10
b49. Rxa4, 9
w50. Ree1, 9
b50. Rb4, 8
w51. Rd2, 10
b51. Nb3, 9
w52. Rdd1, 10
b52. Ra4, 8
w53. Re2, 9
b53. Nd4, 9
w54. Red2, 10
b54. Nb3, 8
w55. Rc2, 10
b55. Nd4, 8
w56. Rcc1, 9
b56. Rb4, 8
w57. Rb1, 10
b57. Ra8, 9
w58. Ne3, 9
b58. Ra2, 9
w59. Rd2, 10
b59. Nb3, 9
w60. Rdd1, 9
b60. Nd4, 8
w61. b3, 9
b61. Ra6, 7
w62. h4, 8
b62. gxh4, 8
w63. gxh4, 9
b63. Ra3, 7
w64. Nd5, 8
b64. Rbxb3, 9
w65. h5, 9
b65. Kh6, 8
w66. Rh1, 8
b66. Rxb1, 9
w67. Rxb1, 11
b67. Rxd3, 9
w68. Rxb7, 10
b68. f5, 9
w69. Nf6, 9
b69. Kg5, 9
w70. Ne8, 9
b70. Nf3, 8
w71. Rb6, 9
b71. fxe4, 8
w72. Nxd6, 9
b72. Kf4, 8
w73. h6, 8
b73. Rd1, 9
w74. Kh3, 9
b74. Rh1+, 10
w75. Kg2, 11
b75. Rxh6, 9
w76. Nc8, 10
b76. Rh2+, 9
w77. Kf1, 11
b77. Rh1+, 9
w78. Kg2, 10
b78. Rg1+, 9
w79. Kh3, 11
b79. Rh1+, 9
w80. Kg2, 11
b80. Rc1, 8
w81. Rb7, 9
b81. Nh4+, 9
w82. Kh2, 11
b82. Nf3+, 9
w83. Kg2, 11
b83. Rxc4, 9
w84. Rf7+, 8
b84. Kg4, 9
w85. Rg7+, 9
b85. Kh5, 9
w86. Nd6, 9
b86. Rd4, 9
w87. Nf5, 9
b87. Nh4+, 9
w88. Nxh4, 12
b88. Kxh4, 10
w89. Kf1, 11
b89. c4, 10
w90. Ke2, 11
b90. Rd3, 10
w91. Rc7, 12
b91. Rc3, 11
w92. Kd2, 11
b92. Rd3+, 10
w93. Kc2, 11
b93. Kg5, 10
w94. Rxc4, 12
b94. Kf5, 10
w95. Rc8, 11
b95. Ke6, 9
w96. Re8+, 11
b96. Kf5, 10
w97. Rf8+, 11
b97. Kg4, 10
w98. Rg8+, 11
b98. Kf5, 11
w99. Rf8+, 11
b99. Kg5, 10
w100. Rg8+, 10
b100. Kf6, 10
w101. Re8, 11
b101. Rh3, 9
w102. Kd2, 10
b102. Rd3+, 9
w103. Ke2, 12
b103. Rb3, 9
w104. Kd2, 11
b104. Kf5, 10
w105. Re7, 10
b105. Rd3+, 10
w106. Ke2, 13
b106. Rb3, 10
w107. Kd2, 12
b107. Kf6, 10
w108. Rc7, 11
b108. Ke6, 10
w109. Rc6+, 10
b109. Kd5, 11
w110. Rc7, 11
b110. Rf3, 10
w111. Ke2, 13
b111. Rb3, 11
w112. Rg7, 12
b112. Rb2+, 12
w113. Ke3, 13
b113. Rb3+, 12
w114. Kd2, 13
b114. Rb2+, 11
w115. Ke3, 14
b115. Rb1, 10
w116. Rd7+, 11
b116. Ke6, 11
w117. Rh7, 11
b117. Re1+, 10
w118. Kd2, 12
b118. Ra1, 10
w119. Ke3, 11
b119. Kd5, 10
w120. Rd7+, 11
b120. Ke6, 11
w121. Rb7, 11
b121. Re1+, 11
w122. Kd2, 13
b122. Rh1, 11
w123. Ke3, 11
b123. Kf5, 10
w124. f3, 11
b124. exf3, 10
w125. Rf7+, 11
b125. Ke6, 10
w126. Rxf3, 10
b126. Kd5, 10
w127. Rf5, 10
b127. Ra1, 9
w128. Rf7, 10
b128. Ra3+, 10
w129. Ke2, 11
b129. e4, 10
w130. Re7, 11
b130. Ra2+, 12
w131. Ke3, 13
b131. Ra3+, 11
w132. Kd2, 12
b132. Ra2+, 10
w133. Ke3, 12
b133. Ra1, 11
w134. Rd7+, 11
b134. Ke5, 11
w135. Re7+, 11
b135. Kf5, 11
w136. Rf7+, 11
b136. Ke5, 11
w137. Re7+, 12
b137. Kd6, 11
w138. Rxe4, 11
b138. Ra3+, 10
w139. Kf4, 12
b139. Ra2, 10
w140. Rd4+, 10
b140. Ke6, 10
w141. Ke3, 11
b141. Rg2, 9
w142. Rh4, 11
b142. Rg3+, 9
w143. Kd4, 11
b143. Rg2, 10
w144. Rh6+, 11
b144. Kf5, 11
w145. Rc6, 11
b145. Rb2, 10
w146. Rc7, 11
b146. Ke6, 10
w147. Rg7, 11
b147. Rd2+, 11
w148. Ke3, 12
b148. Rb2, 11
w149. Rc7, 12
b149. Rb3+, 10
w150. Ke4, 12
b150. Kd6, 11
w151. Rg7, 11
b151. Rb4+, 11
w152. Kd3, 12
b152. Rb2, 11
w153. Ke3, 11
b153. Ke5, 11
w154. Kd3, 11
b154. Rb3+, 10
w155. Kc4, 12
b155. Rb2, 10
w156. Kc3, 10
b156. Rf2, 10
w157. Kd3, 12
b157. Rb2, 10
w158. Re7+, 11
b158. Kd6, 11
w159. Rg7, 12
b159. Ke6, 10
w160. Rg6+, 11
b160. Ke5, 10
w161. Rg5+, 11
b161. Kd6, 10
w162. Kd4, 11
b162. Rb4+, 9
w163. Ke3, 11
b163. Rb2, 10
w164. Kd3, 11
b164. Rb3+, 10
w165. Kd4, 12
b165. Ke6, 9
w166. Rg6+, 10
b166. Kf5, 10
w167. Rg7, 10
b167. Ke6, 10
w168. Rg2, 9
b168. Rb4+, 9
w169. Kd3, 11
b169. Rb3+, 9
w170. Ke4, 11
b170. Rb4+, 10
w171. Kd3, 11
b171. Rb3+, 10
w172. Kc4, 11
b172. Rb7, 10
w173. Kd3, 11
Draw by threefold repetition

PGN: 1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 Bc5 5. Bg2 d6 6. O-O O-O 7. d3 h6 8. Na4 Bb6 9. Nxb6 axb6 10. e4 Be6 11. Qb3 Re8 12. Be3 Qd7 13. Rfe1 Rac8 14. Rad1 Rcd8 15. Qc3 Bh3 16. Bxh3 Qxh3 17. Qc2 Qh5 18. Qe2 Ng4 19. a3 Nxe3 20. Qxe3 g5 21. Nd2 Nd4 22. Rf1 Nc2 23. Qf3 g4 24. Qf6 Nd4 25. Rfe1 Nc2 26. Rf1 Qg5 27. Qxg5+ hxg5 28. Nb1 Nd4 29. Nc3 c6 30. a4 Nf3+ 31. Kg2 Nd4 32. Rfe1 Ra8 33. Re3 Nc2 34. Re2 Nd4 35. Ree1 Nb3 36. Re3 Nd4 37. Kg1 Nc2 38. Re2 Nd4 39. Re3 Red8 40. Kg2 c5 41. Kg1 Nc2 42. Re2 Nd4 43. Re3 Nf3+ 44. Kg2 Re8 45. Nd5 Red8 46. Nxb6 Ra6 47. Nd5 Nd4 48. Nf6+ Kg7 49. Nxg4 Rxa4 50. Ree1 Rb4 51. Rd2 Nb3 52. Rdd1 Ra4 53. Re2 Nd4 54. Red2 Nb3 55. Rc2 Nd4 56. Rcc1 Rb4 57. Rb1 Ra8 58. Ne3 Ra2 59. Rd2 Nb3 60. Rdd1 Nd4 61. b3 Ra6 62. h4 gxh4 63. gxh4 Ra3 64. Nd5 Rbxb3 65. h5 Kh6 66. Rh1 Rxb1 67. Rxb1 Rxd3 68. Rxb7 f5 69. Nf6 Kg5 70. Ne8 Nf3 71. Rb6 fxe4 72. Nxd6 Kf4 73. h6 Rd1 74. Kh3 Rh1+ 75. Kg2 Rxh6 76. Nc8 Rh2+ 77. Kf1 Rh1+ 78. Kg2 Rg1+ 79. Kh3 Rh1+ 80. Kg2 Rc1 81. Rb7 Nh4+ 82. Kh2 Nf3+ 83. Kg2 Rxc4 84. Rf7+ Kg4 85. Rg7+ Kh5 86. Nd6 Rd4 87. Nf5 Nh4+ 88. Nxh4 Kxh4 89. Kf1 c4 90. Ke2 Rd3 91. Rc7 Rc3 92. Kd2 Rd3+ 93. Kc2 Kg5 94. Rxc4 Kf5 95. Rc8 Ke6 96. Re8+ Kf5 97. Rf8+ Kg4 98. Rg8+ Kf5 99. Rf8+ Kg5 100. Rg8+ Kf6 101. Re8 Rh3 102. Kd2 Rd3+ 103. Ke2 Rb3 104. Kd2 Kf5 105. Re7 Rd3+ 106. Ke2 Rb3 107. Kd2 Kf6 108. Rc7 Ke6 109. Rc6+ Kd5 110. Rc7 Rf3 111. Ke2 Rb3 112. Rg7 Rb2+ 113. Ke3 Rb3+ 114. Kd2 Rb2+ 115. Ke3 Rb1 116. Rd7+ Ke6 117. Rh7 Re1+ 118. Kd2 Ra1 119. Ke3 Kd5 120. Rd7+ Ke6 121. Rb7 Re1+ 122. Kd2 Rh1 123. Ke3 Kf5 124. f3 exf3 125. Rf7+ Ke6 126. Rxf3 Kd5 127. Rf5 Ra1 128. Rf7 Ra3+ 129. Ke2 e4 130. Re7 Ra2+ 131. Ke3 Ra3+ 132. Kd2 Ra2+ 133. Ke3 Ra1 134. Rd7+ Ke5 135. Re7+ Kf5 136. Rf7+ Ke5 137. Re7+ Kd6 138. Rxe4 Ra3+ 139. Kf4 Ra2 140. Rd4+ Ke6 141. Ke3 Rg2 142. Rh4 Rg3+ 143. Kd4 Rg2 144. Rh6+ Kf5 145. Rc6 Rb2 146. Rc7 Ke6 147. Rg7 Rd2+ 148. Ke3 Rb2 149. Rc7 Rb3+ 150. Ke4 Kd6 151. Rg7 Rb4+ 152. Kd3 Rb2 153. Ke3 Ke5 154. Kd3 Rb3+ 155. Kc4 Rb2 156. Kc3 Rf2 157. Kd3 Rb2 158. Re7+ Kd6 159. Rg7 Ke6 160. Rg6+ Ke5 161. Rg5+ Kd6 162. Kd4 Rb4+ 163. Ke3 Rb2 164. Kd3 Rb3+ 165. Kd4 Ke6 166. Rg6+ Kf5 167. Rg7 Ke6 168. Rg2 Rb4+ 169. Kd3 Rb3+ 170. Ke4 Rb4+ 171. Kd3 Rb3+ 172. Kc4 Rb7 173. Kd3
