Chess v0.69 (time per move: 15) vs Chess v0.65 (time per move: 15)
w1. d4, book
b1. d5, book
w2. Nf3, book
b2. Nf6, book
w3. c4, book
b3. c6, book
w4. e3, book
b4. Bg4, book
w5. h3, book
b5. Bxf3, book
w6. Qxf3, book
b6. e6, book
w7. Nc3, book
b7. Nbd7, book
w8. Bd3, book
b8. Bb4, book
w9. O-O, book
b9. O-O, book
w10. Rd1, book
b10. Bxc3, 6
w11. bxc3, 8
b11. e5, 7
w12. e4, 8
b12. Re8, 7
w13. Bg5, 8
b13. exd4, 7
w14. Bxf6, 8
b14. Qxf6, 8
w15. cxd4, 9
b15. Qxf3, 7
w16. gxf3, 10
b16. dxe4, 8
w17. fxe4, 10
b17. c5, 9
w18. d5, 11
b18. Ne5, 10
w19. Be2, 10
b19. Ng6, 9
w20. Bf3, 10
b20. Ne5, 8
w21. Bg2, 10
b21. Nxc4, 9
w22. Rac1, 9
b22. b5, 8
w23. Rc3, 8
b23. Rab8, 7
w24. Re1, 8
b24. f5, 8
w25. a4, 9
b25. a6, 8
w26. axb5, 8
b26. axb5, 9
w27. f3, 9
b27. f4, 8
w28. Ra1, 9
b28. Rec8, 8
w29. Rac1, 9
b29. h6, 7
w30. Bf1, 9
b30. Ne5, 9
w31. Rxc5, 10
b31. Rxc5, 9
w32. Rxc5, 10
b32. Nxf3+, 9
w33. Kg2, 10
b33. Nd4, 9
w34. Kf2, 9
b34. b4, 8
w35. Rc4, 10
b35. Nb3, 10
w36. e5, 11
b36. g5, 9
w37. Bd3, 10
b37. Nd2, 8
w38. Rc7, 9
b38. Ra8, 8
w39. d6, 8
b39. Ra3, 8
w40. Bf5, 8
b40. Ne4+, 7
w41. Bxe4, 9
b41. Ra2+, 7
w42. Ke1, 8
b42. Ra1+, 8
w43. Ke2, 10
b43. Kf8, 8
w44. Rc8+, 8
b44. Kf7, 9
w45. d7, 9
b45. f3+, 8
w46. Bxf3, 9
b46. Ra2+, 8
w47. Ke3, 9
b47. Ra3+, 8
w48. Ke4, 10
b48. Rc3, 9
w49. d8=Q, 12
b49. Rxc8, 10
w50. Bh5+, 13
b50. Kg7, 13
w51. Qf6+, 13
b51. Kh7, 13
w52. Bg6+, 14
b52. Kg8, 13
w53. Qf7+, 0
b53. Kh8, 18
w54. Qg8+, 10
b54. Kxg8, 10
w55. Bf5, 10
b55. Rc1, 10
w56. Be6+, 9
b56. Kf8, 11
w57. Kd4, 11
b57. Ke7, 11
w58. Bc4, 12
b58. Rh1, 11
w59. Kc5, 12
b59. Rxh3, 12
w60. Kxb4, 12
b60. g4, 11
w61. e6, 11
b61. g3, 11
w62. Bd5, 11
b62. Rh2, 10
w63. Kc4, 11
b63. g2, 11
w64. Bxg2, 14
b64. Rxg2, 13
w65. Kd5, 15
b65. Rg5+, 13
w66. Ke4, 15
b66. Kxe6, 13
w67. Kf4, 15
b67. Re5, 13
w68. Kf3, 15
b68. h5, 13
w69. Kg3, 15
b69. Rf5, 12
w70. Kh4, 15
b70. Ke5, 12
w71. Kg3, 15
b71. Rf4, 12
w72. Kh3, 16
b72. Kf5, 12
w73. Kh2, 15
b73. h4, 0
w74. Kh3, 15
b74. Rf2, 19
w75. Kxh4, 0
b75. Rf3, 18
w76. Kh5, 0
b76. Rh3#, 0
And black wins the game

PGN: 1. d4 d5 2. Nf3 Nf6 3. c4 c6 4. e3 Bg4 5. h3 Bxf3 6. Qxf3 e6 7. Nc3 Nbd7 8. Bd3 Bb4 9. O-O O-O 10. Rd1 Bxc3 11. bxc3 e5 12. e4 Re8 13. Bg5 exd4 14. Bxf6 Qxf6 15. cxd4 Qxf3 16. gxf3 dxe4 17. fxe4 c5 18. d5 Ne5 19. Be2 Ng6 20. Bf3 Ne5 21. Bg2 Nxc4 22. Rac1 b5 23. Rc3 Rab8 24. Re1 f5 25. a4 a6 26. axb5 axb5 27. f3 f4 28. Ra1 Rec8 29. Rac1 h6 30. Bf1 Ne5 31. Rxc5 Rxc5 32. Rxc5 Nxf3+ 33. Kg2 Nd4 34. Kf2 b4 35. Rc4 Nb3 36. e5 g5 37. Bd3 Nd2 38. Rc7 Ra8 39. d6 Ra3 40. Bf5 Ne4+ 41. Bxe4 Ra2+ 42. Ke1 Ra1+ 43. Ke2 Kf8 44. Rc8+ Kf7 45. d7 f3+ 46. Bxf3 Ra2+ 47. Ke3 Ra3+ 48. Ke4 Rc3 49. d8=Q Rxc8 50. Bh5+ Kg7 51. Qf6+ Kh7 52. Bg6+ Kg8 53. Qf7+ Kh8 54. Qg8+ Kxg8 55. Bf5 Rc1 56. Be6+ Kf8 57. Kd4 Ke7 58. Bc4 Rh1 59. Kc5 Rxh3 60. Kxb4 g4 61. e6 g3 62. Bd5 Rh2 63. Kc4 g2 64. Bxg2 Rxg2 65. Kd5 Rg5+ 66. Ke4 Kxe6 67. Kf4 Re5 68. Kf3 h5 69. Kg3 Rf5 70. Kh4 Ke5 71. Kg3 Rf4 72. Kh3 Kf5 73. Kh2 h4 74. Kh3 Rf2 75. Kxh4 Rf3 76. Kh5 Rh3#
