Chess v0.71 (time per move: 15) vs Chess v0.65 (time per move: 15)
w1. e4, book
b1. e6, book
w2. d4, book
b2. d5, book
w3. e5, book
b3. c5, book
w4. c3, book
b4. Nc6, book
w5. Nf3, book
b5. Bd7, book
w6. Be2, book
b6. Nge7, book
w7. Na3, book
b7. cxd4, book
w8. cxd4, book
b8. Nf5, book
w9. Nc2, book
b9. Qb6, book
w10. h4, book
b10. Nb4, book
w11. Nxb4, book
b11. Bxb4+, book
w12. Kf1, book
b12. Qa5, 6
w13. a3, 7
b13. Bb5, 6
w14. Bxb5+, 8
b14. Qxb5+, 7
w15. Qe2, 9
b15. Qxe2+, 7
w16. Kxe2, 10
b16. Ba5, 8
w17. g4, 10
b17. Ne7, 8
w18. Kf1, 10
b18. O-O, 8
w19. Kg1, 9
b19. Rac8, 8
w20. Rb1, 9
b20. Bb6, 8
w21. Be3, 10
b21. Rc2, 8
w22. h5, 9
b22. Re8, 8
w23. h6, 10
b23. gxh6, 9
w24. Rxh6, 10
b24. Nc6, 9
w25. Rh5, 9
b25. Rc4, 7
w26. Rg5+, 8
b26. Kh8, 8
w27. Rd1, 9
b27. Rc2, 8
w28. b4, 9
b28. Rc3, 7
w29. Rh5, 9
b29. Kg7, 7
w30. Rg5+, 8
b30. Kh8, 8
w31. b5, 9
b31. Na5, 8
w32. Rh5, 9
b32. Rg8, 8
w33. Rg5, 8
b33. Rxa3, 8
w34. Rxg8+, 9
b34. Kxg8, 10
w35. Nd2, 10
b35. Nb3, 9
w36. Nxb3, 10
b36. Rxb3, 10
w37. Kf1, 10
b37. Rxb5, 10
w38. Ke2, 10
b38. a5, 9
w39. g5, 10
b39. a4, 8
w40. Ra1, 10
b40. Rb2+, 8
w41. Kd3, 10
b41. Rb4, 8
w42. Kc3, 10
b42. Ba5, 9
w43. Kc2, 9
b43. Rc4+, 9
w44. Kd3, 11
b44. Rc3+, 9
w45. Ke2, 11
b45. a3, 9
w46. Ra2, 9
b46. b5, 8
w47. Bd2, 10
b47. Rb3, 10
w48. Bc1, 10
b48. b4, 9
w49. Rc2, 9
b49. Bb6, 9
w50. Be3, 10
b50. Rb2, 10
w51. Kd3, 10
b51. a2, 9
w52. Rc1, 9
b52. Rb1, 10
w53. Rc8+, 11
b53. Kg7, 11
w54. Ra8, 10
b54. Rb3+, 9
w55. Ke2, 10
b55. Ra3, 10
w56. Bc1, 10
b56. a1=Q, 9
w57. Bxa3, 8
b57. Bxd4, 8
w58. Rc8, 8
b58. Qxa3, 9
w59. Rc2, 8
b59. b3, 8
w60. Rd2, 10
b60. b2, 9
w61. Rd1, 9
b61. Qa2, 8
w62. Kf3, 7
b62. Qb3+, 9
w63. Kf4, 9
b63. Bxf2, 14
w64. Rg1, 7
b64. Qh3, 15
w65. Rd1, 3
b65. Qf5#, 0
And black wins the game

PGN: 1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Bd7 6. Be2 Nge7 7. Na3 cxd4 8. cxd4 Nf5 9. Nc2 Qb6 10. h4 Nb4 11. Nxb4 Bxb4+ 12. Kf1 Qa5 13. a3 Bb5 14. Bxb5+ Qxb5+ 15. Qe2 Qxe2+ 16. Kxe2 Ba5 17. g4 Ne7 18. Kf1 O-O 19. Kg1 Rac8 20. Rb1 Bb6 21. Be3 Rc2 22. h5 Re8 23. h6 gxh6 24. Rxh6 Nc6 25. Rh5 Rc4 26. Rg5+ Kh8 27. Rd1 Rc2 28. b4 Rc3 29. Rh5 Kg7 30. Rg5+ Kh8 31. b5 Na5 32. Rh5 Rg8 33. Rg5 Rxa3 34. Rxg8+ Kxg8 35. Nd2 Nb3 36. Nxb3 Rxb3 37. Kf1 Rxb5 38. Ke2 a5 39. g5 a4 40. Ra1 Rb2+ 41. Kd3 Rb4 42. Kc3 Ba5 43. Kc2 Rc4+ 44. Kd3 Rc3+ 45. Ke2 a3 46. Ra2 b5 47. Bd2 Rb3 48. Bc1 b4 49. Rc2 Bb6 50. Be3 Rb2 51. Kd3 a2 52. Rc1 Rb1 53. Rc8+ Kg7 54. Ra8 Rb3+ 55. Ke2 Ra3 56. Bc1 a1=Q 57. Bxa3 Bxd4 58. Rc8 Qxa3 59. Rc2 b3 60. Rd2 b2 61. Rd1 Qa2 62. Kf3 Qb3+ 63. Kf4 Bxf2 64. Rg1 Qh3 65. Rd1 Qf5#
