Chess v0.63 (time per move: 15) vs Chess v0.64 (time per move: 15)
w1. e4, book
b1. c5, book
w2. Nf3, book
b2. a6, book
w3. c3, book
b3. e6, book
w4. d4, book
b4. d5, book
w5. exd5, book
b5. exd5, book
w6. Be3, book
b6. cxd4, book
w7. Nxd4, book
b7. Nf6, 8
w8. Nd2, 7
b8. Nbd7, 7
w9. c4, 7
b9. Bc5, 8
w10. cxd5, 7
b10. Nxd5, 8
w11. Qb3, 7
b11. Nxe3, 8
w12. Qxe3+, 7
b12. Qe7, 9
w13. Qxe7+, 8
b13. Kxe7, 10
w14. N4f3, 8
b14. Re8, 8
w15. Bd3, 8
b15. Kf8+, 8
w16. Kf1, 9
b16. Nf6, 9
w17. Rc1, 8
b17. Bb4, 8
w18. a3, 8
b18. Bxd2, 9
w19. Nxd2, 9
b19. Rd8, 8
w20. Rc3, 9
b20. Be6, 9
w21. Nf3, 8
b21. Kg8, 9
w22. Ne5, 9
b22. Rd5, 9
w23. Nf3, 8
b23. Rad8, 8
w24. Be2, 8
b24. R5d6, 8
w25. Rc2, 8
b25. Ne4, 8
w26. Kg1, 8
b26. Rd1+, 9
w27. Bf1, 9
b27. Ra1, 8
w28. g4, 8
b28. Bd5, 8
w29. h4, 9
b29. Ng5, 9
w30. Nxg5, 9
b30. Bxh1, 9
w31. Kxh1, 10
b31. Rxf1+, 9
w32. Kg2, 11
b32. Rb1, 9
w33. h5, 9
b33. a5, 9
w34. Ne4, 9
b34. a4, 8
w35. Nc3, 9
b35. Re1, 10
w36. Nxa4, 9
b36. Re4, 10
w37. Nc5, 10
b37. Rxg4+, 9
w38. Kh3, 10
b38. Rg5, 9
w39. Nxb7, 9
b39. Rb8, 9
w40. Kh4, 10
b40. Rb5, 9
w41. Nd6, 10
b41. Rxb2, 10
w42. Rxb2, 10
b42. Rxb2, 11
w43. f4, 10
b43. Rb3, 10
w44. a4, 10
b44. Rb4, 11
w45. Kg4, 11
b45. Rxa4, 11
w46. Kf3, 10
b46. Kf8, 10
w47. Ne4, 10
b47. f5, 11
w48. Ng3, 11
b48. g6, 12
w49. hxg6, 12
b49. hxg6, 13
w50. Ne2, 12
b50. Kf7, 12
w51. Ke3, 13
b51. Ra3+, 12
w52. Kd4, 13
b52. Ra4+, 12
w53. Kd3, 12
b53. Re4, 14
w54. Kd2, 14
b54. Ke6, 13
w55. Ke1, 13
b55. Re3, 13
w56. Kd2, 13
b56. Rh3, 13
w57. Ng1, 13
b57. Ra3, 12
w58. Ne2, 14
b58. Kd5, 13
w59. Nc3+, 14
b59. Kc4, 14
w60. Ne2, 13
b60. Rd3+, 13
w61. Kc2, 15
b61. Rd7, 13
w62. Ng3, 12
b62. Re7, 12
w63. Kd2, 13
b63. Kd4, 13
w64. Ne2+, 12
b64. Ke4, 13
w65. Nc3+, 12
b65. Kf3, 13
w66. Kd3, 11
b66. Rd7+, 12
w67. Kc4, 13
b67. Kxf4, 13
w68. Nb1, 11
b68. Ke3, 12
w69. Na3, 11
b69. f4, 11
w70. Nc2+, 11
b70. Ke4, 11
w71. Ne1, 12
b71. Rd1, 12
w72. Nf3, 13
b72. Rc1+, 15
w73. Kb3, 15
b73. Kxf3, 14
w74. Kb2, 16
b74. Rc8, 14
w75. Kb3, 14
b75. Ke4, 13
w76. Kb4, 17
b76. f3, 17
w77. Kb5, 16
And black wins (M5 on the board)
