Chess v0.64 (time per move: 15) vs Chess v0.63 (time per move: 15)
w1. d4, book
b1. d5, book
w2. c4, book
b2. c6, book
w3. Nf3, book
b3. Nf6, book
w4. Nc3, book
b4. e6, book
w5. e3, book
b5. a6, book
w6. c5, book
b6. Nbd7, book
w7. b4, book
b7. g6, book
w8. Bd3, book
b8. Bg7, book
w9. O-O, book
b9. O-O, book
w10. Na4, book
b10. a5, 7
w11. Bd2, 8
b11. axb4, 8
w12. Bxb4, 9
b12. Re8, 8
w13. Qc2, 8
b13. Qe7, 8
w14. Bc3, 8
b14. e5, 8
w15. dxe5, 8
b15. Ng4, 8
w16. e6, 8
b16. fxe6, 7
w17. Bxg7, 8
b17. Qxg7, 8
w18. Nb6, 8
b18. Nxb6, 8
w19. cxb6, 8
b19. e5, 8
w20. e4, 7
b20. Nf6, 8
w21. Qb3, 8
b21. g5, 8
w22. Rfe1, 7
b22. g4, 8
w23. Nd2, 9
b23. Be6, 8
w24. Qb4, 8
b24. Qg5, 7
w25. a3, 7
b25. c5, 9
w26. Qb2, 8
b26. c4, 8
w27. exd5, 8
b27. cxd3, 8
w28. dxe6, 9
b28. Rxe6, 8
w29. Rad1, 8
b29. Qf5, 7
w30. Nc4, 7
b30. e4, 8
w31. Qb3, 8
b31. Nd5, 8
w32. Qb2, 8
b32. Nf4, 7
w33. Rf1, 7
b33. Qh5, 7
w34. Rfe1, 8
b34. Rh6, 8
w35. h3, 8
b35. gxh3, 8
w36. Qe5, 7
b36. hxg2, 8
w37. Qxh5, 9
b37. Rxh5, 9
w38. f3, 9
b38. d2, 9
w39. Nxd2, 8
b39. e3, 9
w40. Rxe3, 10
b40. Rh1+, 9
w41. Kf2, 11
b41. Rxd1, 9
w42. Kg3, 9
b42. g1=Q+, 8
w43. Kxf4, 10
b43. Rf8+, 10
w44. Ke4, 10
b44. Re8+, 11
w45. Kf5, 11
b45. Qxe3, 13
w46. Nc4, 12
b46. Qxf3+, 19
w47. Kg5, 19
b47. Rd5+, 19
w48. Kh4, 19
b48. Re4#, 0
And black wins the game

PGN: 1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. e3 a6 6. c5 Nbd7 7. b4 g6 8. Bd3 Bg7 9. O-O O-O 10. Na4 a5 11. Bd2 axb4 12. Bxb4 Re8 13. Qc2 Qe7 14. Bc3 e5 15. dxe5 Ng4 16. e6 fxe6 17. Bxg7 Qxg7 18. Nb6 Nxb6 19. cxb6 e5 20. e4 Nf6 21. Qb3 g5 22. Rfe1 g4 23. Nd2 Be6 24. Qb4 Qg5 25. a3 c5 26. Qb2 c4 27. exd5 cxd3 28. dxe6 Rxe6 29. Rad1 Qf5 30. Nc4 e4 31. Qb3 Nd5 32. Qb2 Nf4 33. Rf1 Qh5 34. Rfe1 Rh6 35. h3 gxh3 36. Qe5 hxg2 37. Qxh5 Rxh5 38. f3 d2 39. Nxd2 e3 40. Rxe3 Rh1+ 41. Kf2 Rxd1 42. Kg3 g1=Q+ 43. Kxf4 Rf8+ 44. Ke4 Re8+ 45. Kf5 Qxe3 46. Nc4 Qxf3+ 47. Kg5 Rd5+ 48. Kh4 Re4#
